,Bahreïn (Sakhir),Arabie saoudite (Djeddah),Australie (Melbourne),Azerbaïdjan (Bakou),Etats-Unis (Miami),Italie/Emilie-Romagne (Imola),Monaco,Espagne (Barcelone),Canada (Montréal),Autriche (Spielberg),Angleterre (Silverstone),Hongrie (Budapest),Belgique (Spa-Francorchamps),Pays-Bas (Zandvoort),Italie (Monza)/Milan,Singapour (Marina Bay),Japon (Suzuka),Qatar (Losail),Etats-Unis (Austin),Mexique (Mexico),Brésil (Sao Paulo),Etats-Unis (Las Vegas),Abou Dhabi (Yas Marina),Chine (Shanghaï)
,Bahreïn (Sakhir),0,1264,10506,2526,13183,5657,6007,6484,10957,5391,6456,5069,6010,6077,5837,6322,5639,128,12900,13811,11800,12944,426,6821
,Arabie Saoudite (Djeddah),1264,0,12805,2325,11618,3572,3822,4098,9945,3596,4829,3404,4330,4528,3808,7341,9293,1324,12642,13520,10548,13061,1586,8083
,Australie (Melbourne),10506,12805,0,12984,15594,16085,16420,16827,16735,15875,16944,15558,16516,16570,16292,6055,6055,11983,14284,13522,13085,13129,11691,8050
,Azerbaïdjan (Bakou),2526,2325,12984,0,11019,3325,3488,3961,8934,2891,4033,2574,3555,3655,3325,6943,7340,1682,11481,12391,12205,11374,1819,6358
,Etats-Unis (Miami),13183,11618,15594,11019,0,8173,7872,7535,2255,8282,7044,8565,7549,7410,7945,16955,12219,12315,1780,2066,6584,3493,12587,13273
,Italie/Emilie-Romagne (Imola),5657,3572,16085,3325,8173,0,350,844,6375,397,1273,665,810,1036,234,10077,9596,4148,9069,10054,9596,9591,4457,9011
,Monaco,6007,3822,16420,3488,7872,350,0,502,6126,692,1121,995,760,984,238,10424,9074,4461,8821,9779,9288,9415,4772,9326
,Espagne (Barcelone),6484,4098,16827,3961,7535,844,502,0,5899,1193,1214,1498,1051,1234,726,10884,10343,4884,8528,9488,8797,9297,5156,9824
,Canada (Montéal),10957,9945,16735,8934,2255,6375,6126,5899,0,6395,5140,6641,5650,5474,6141,14805,10575,10385,2695,3728,8148,3608,10639,11349
,Autriche (Spielberg),5391,3596,15875,2891,8282,397,692,1193,6395,0,1257,322,746,931,471,9832,9202,4037,9079,10106,9978,9497,4320,8635
,Angleterre (Silverstone),6456,4829,16944,4033,7044,1273,1121,1214,5140,1257,0,1522,511,380,1048,10902,9504,5285,7827,8850,9505,8320,5562,9192
,Hongrie (Budapest),5069,3404,15558,2574,8565,665,995,1498,6641,322,1522,0,1015,1168,787,9512,8949,3764,9314,10215,10259,9664,4040,8346
,Belgique (Spa-Francorchamps),6010,4330,16516,3555,7549,810,760,1051,5650,746,511,1015,0,229,610,10450,9365,4776,8335,9230,9709,8793,5055,8953
,Pays-Bas (Zandvoort),6077,4528,16570,3655,7410,1036,984,1234,5474,931,380,1168,229,0,840,10524,9257,4931,8153,9051,9787,8580,5203,8893
,Italie (Monza)/Milan,5837,3808,16292,3325,7945,234,238,726,6141,471,1048,787,610,840,0,9993,9659,4012,9241,10215,9562,9779,4314,9034
,Singapour (Marina Bay),6322,7341,6055,6943,16955,10077,10424,10884,14805,9832,10902,9512,10450,10524,9993,0,5043,6206,15826,16126,15986,14222,5881,3809
,Japon (Suzuka),5639,9293,8130,7340,12219,9596,9074,10343,10575,9202,9504,8949,9365,9257,9659,5043,0,8011,10805,11588,18717,9180,7790,1466
,Qatar (Losail),128,1324,11983,1682,12315,4148,4461,4884,10385,4037,5285,3764,4776,4931,4012,6206,8011,0,13021,14114,11871,13044,326,6762
,Etats-Unis (Austin),12900,12642,14284,11481,1780,9069,8821,8528,2695,9079,7827,9314,8335,8153,9241,15826,10805,13021,0,1213,8095,1744,13253,12023
,Mexique (Mexico),13811,13520,13522,12391,2066,10054,9779,9488,3728,10106,8850,10215,9230,9051,10215,16126,11588,14114,1213,0,7431,2428,14366,12414
,Brésil (Sao Paulo),11800,10548,13085,12205,6584,9596,9288,8797,8148,9978,9505,10259,9709,9787,9562,15986,18717,11871,8095,7431,0,9781,12138,18564
,Etats-Unis (Las Vegas),12944,13061,13129,11374,3493,9591,9415,9297,3608,9497,8320,9664,8793,8580,9779,14222,9180,13044,1744,2428,9781,0,13194,10483
,Abou Dhabi (Emirats Arabes Unis),426,1586,11691,1819,12587,4457,4772,5156,10639,4320,5562,4040,5055,5203,4314,5881,7790,326,13253,14366,12138,13194,0,6518
,Chine (Shangaï),6821,8083,8050,6358,13273,9011,9326,9824,11349,8635,9192,8346,8953,8893,9034,3809,1466,6762,12023,12414,18564,10483,6518,0
